year,0-14,15-29,30-44,45-59,60-74,75-84,85+
1934,672884.4235057564,588796.5067337034,494694.7853265103,479948.87608955783,167335.3209458294,0.0,0.0
1935,672824.0447489058,584164.115071219,495644.5433026925,475366.53174800245,152395.9208196381,0.0,0.0
1936,673353.0762204262,579039.1215670669,497310.5401958553,470334.55800167116,132534.26384049148,0.0,0.0
1937,673903.4517587031,573882.9899748198,499600.12185414426,464875.398187862,107658.02077655366,0.0,0.0
1938,674436.6989718175,568758.7980527268,502460.3298470315,459010.7639586176,81999.5023790368,0.0,0.0
1939,674916.6510948411,563726.734220006,505840.1766322379,452761.6556446797,55526.32142664434,0.0,0.0
1940,675309.3603219421,558844.1863519315,509690.5898441948,446148.38209632353,28204.81622012964,0.0,0.0
1941,675583.0138440784,554165.8282501961,513964.3579743739,439190.580013894,0.0,0.0,0.0
1942,675503.4192247582,549880.8717856776,518523.10301268107,403786.62111147394,0.0,0.0,0.0
1943,675055.3727537766,546049.581454377,523320.72788343753,368158.6950315419,0.0,0.0,0.0
1944,674230.3050302495,542727.8240980523,528313.0076635876,331498.97808189015,0.0,0.0,0.0
1945,673025.8478215272,539967.2307421877,533457.5352004226,296417.44798914646,0.0,0.0,0.0
1946,671445.4193574494,537815.353849275,531092.1198145403,270480.09484015364,0.0,0.0,0.0
1947,669540.4289936906,536147.5583145157,528281.7286890707,246465.81982823618,0.0,0.0,0.0
1948,667331.6279142618,534977.0499866859,525028.8283454103,224297.439574016,0.0,0.0,0.0
1949,664845.287033303,534314.1676532537,521336.13404159935,203900.3121883523,0.0,0.0,0.0
1950,662112.6859886029,534166.5097848731,517206.59872196394,185202.26079821403,0.0,0.0,0.0
1951,659169.6273222675,534539.0574346822,512643.40228529007,161145.98761273012,0.0,0.0,0.0
1952,656176.2477286835,534958.290278259,508061.857356953,129992.77060532916,0.0,0.0,0.0
1953,653159.0759123116,535390.7789587348,503517.7410148424,98175.87722147815,0.0,0.0,0.0
1954,650144.9712318918,535804.6144306057,499064.1135385908,65748.54560957916,0.0,0.0,0.0
1955,647160.9265538121,536169.3645821176,494751.40589818364,32964.00329040497,0.0,0.0,0.0
1956,644233.8839449859,536456.0319114658,490627.5048727493,0.0,0.0,0.0,0.0
1957,641505.1808554749,536482.478168605,454305.82811815327,0.0,0.0,0.0,0.0
1958,638411.4263410526,536227.6959314065,419066.9369811956,0.0,0.0,0.0,0.0
1959,634968.914596057,535675.8643283874,385140.3504267855,0.0,0.0,0.0,0.0
1960,631193.4984381935,534816.089701187,352689.16538802866,0.0,0.0,0.0,0.0
1961,627099.7383763939,533642.1548883459,321790.7292139081,0.0,0.0,0.0,0.0
1962,622793.3535044423,532215.3511274217,291352.63154824224,0.0,0.0,0.0,0.0
1963,617638.1545971223,530545.2422634554,260887.90083058615,0.0,0.0,0.0,0.0
1964,611613.8539250604,528646.0453998077,230175.20473619312,0.0,0.0,0.0,0.0
1965,604689.9865222186,526536.3033662388,198901.79825370782,0.0,0.0,0.0,0.0
1966,596823.2840225659,524238.56984589,166863.29244120338,0.0,0.0,0.0,0.0
1967,587962.512433064,521887.7379150066,134237.5637335251,0.0,0.0,0.0,0.0
